"Zipcode";"Latitude";"Longitude";"City";"State_Id";"State_Name";"County_Fips";"County_Name";"All_County_Weights";"Timezone"
601;18.18004;-66.75218;"Adjuntas";"PR";"Puerto Rico";72001;"Adjuntas";"{'72001':99.43,'72141':0.57}";"America/Puerto_Rico"
602;18.36073;-67.17517;"Aguada";"PR";"Puerto Rico";72003;"Aguada";"{'72003':100}";"America/Puerto_Rico"
603;18.45439;-67.12202;"Aguadilla";"PR";"Puerto Rico";72005;"Aguadilla";"{'72005':100}";"America/Puerto_Rico"
606;18.16724;-66.93828;"Maricao";"PR";"Puerto Rico";72093;"Maricao";"{'72093':94.88,'72121':1.35,'72153':3.78}";"America/Puerto_Rico"
610;18.29032;-67.12243;"Anasco";"PR";"Puerto Rico";72011;"Añasco";"{'72003':0.55,'72011':99.45}";"America/Puerto_Rico"
612;18.40699;-66.70803;"Arecibo";"PR";"Puerto Rico";72013;"Arecibo";"{'72013':99.89,'72017':0.11}";"America/Puerto_Rico"
616;18.41753;-66.66814;"Bajadero";"PR";"Puerto Rico";72013;"Arecibo";"{'72013':100}";"America/Puerto_Rico"
617;18.44124;-66.55917;"Barceloneta";"PR";"Puerto Rico";72017;"Barceloneta";"{'72017':99.43,'72054':0.57}";"America/Puerto_Rico"
622;17.99174;-67.15248;"Boqueron";"PR";"Puerto Rico";72023;"Cabo Rojo";"{'72023':100}";"America/Puerto_Rico"
623;18.08355;-67.15417;"Cabo Rojo";"PR";"Puerto Rico";72023;"Cabo Rojo";"{'72023':100}";"America/Puerto_Rico"
624;18.06465;-66.71823;"Penuelas";"PR";"Puerto Rico";72111;"Peñuelas";"{'72111':92.53,'72113':7.47}";"America/Puerto_Rico"
627;18.419;-66.86033;"Camuy";"PR";"Puerto Rico";72027;"Camuy";"{'72027':100}";"America/Puerto_Rico"
631;18.18555;-66.83327;"Castaner";"PR";"Puerto Rico";72081;"Lares";"{'72001':32.99,'72081':67.01}";"America/Puerto_Rico"
637;18.07982;-66.94274;"Sabana Grande";"PR";"Puerto Rico";72121;"Sabana Grande";"{'72121':99.56,'72153':0.44}";"America/Puerto_Rico"
638;18.28904;-66.5151;"Ciales";"PR";"Puerto Rico";72039;"Ciales";"{'72039':98.27,'72091':1.73}";"America/Puerto_Rico"
641;18.26408;-66.71376;"Utuado";"PR";"Puerto Rico";72141;"Utuado";"{'72001':0.21,'72141':99.79}";"America/Puerto_Rico"
646;18.43401;-66.2833;"Dorado";"PR";"Puerto Rico";72051;"Dorado";"{'72051':99.89,'72143':0.11}";"America/Puerto_Rico"
